Date,Name,Year,Letterboxd URI,Rating
2024-12-26,Atlantis: The Lost Empire,2001,https://boxd.it/1Vck,4
2024-12-31,Moonrise Kingdom,2012,https://boxd.it/2Wng,4.5
2025-01-07,Black Adam,2022,https://boxd.it/fup0,2
2025-02-13,Southpaw,2015,https://boxd.it/9Phu,3.5
2025-02-15,The Notebook,2004,https://boxd.it/1UNE,3
2025-02-25,The Bourne Identity,2002,https://boxd.it/26EO,3
2025-02-27,Swiss Army Man,2016,https://boxd.it/bDG2,3
2025-03-05,Maze Runner: The Scorch Trials,2015,https://boxd.it/9hwA,3
2025-03-05,Maze Runner: The Death Cure,2018,https://boxd.it/bakw,3
2025-03-07,The Lego Batman Movie,2017,https://boxd.it/azp0,3.5
2025-03-09,Rango,2011,https://boxd.it/QPk,3.5
2025-03-24,Incendies,2010,https://boxd.it/Msm,4
2025-03-26,Captain America: Brave New World,2025,https://boxd.it/uYDm,2
2025-04-04,Kingdom of Heaven,2005,https://boxd.it/28Gs,4
2025-04-10,Mickey 17,2025,https://boxd.it/q1Dk,3
2025-04-19,The Gorge,2025,https://boxd.it/zRqK,2.5
2025-04-20,Treasure Planet,2002,https://boxd.it/1Znm,4
2025-04-21,The Summit of the Gods,2021,https://boxd.it/qFIu,4.5
2025-04-23,The Taste of Others,2000,https://boxd.it/1VBY,3.5
2025-04-25,Conclave,2024,https://boxd.it/AO8q,4
2025-04-25,Nobody,2021,https://boxd.it/mLqS,3.5
2025-04-28,Havoc,2025,https://boxd.it/oTok,3.5
2025-05-02,Thunderbolts*,2025,https://boxd.it/BfbQ,3.5
2025-05-10,A Working Man,2025,https://boxd.it/Jpmq,0.5
2025-05-15,Wind River,2017,https://boxd.it/dR3i,3.5
2025-06-04,The Departed,2006,https://boxd.it/28MA,4
2025-06-07,The Sisters Brothers,2018,https://boxd.it/fDFm,2.5
2025-06-15,Long Way North,2015,https://boxd.it/bAhe,4
2025-06-29,Burn After Reading,2008,https://boxd.it/23BW,3.5
