Date,Name,Year,Letterboxd URI
2022-07-19,The Good Boss,2021,https://boxd.it/uVv0
2022-07-20,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2022-07-20,India Song,1975,https://boxd.it/32HQ
2022-07-20,Stalker,1979,https://boxd.it/28PO
2022-07-20,The Thing,1982,https://boxd.it/294O
2022-07-20,The Ballad of Narayama,1983,https://boxd.it/XI6
2022-07-20,Once Upon a Time in America,1984,https://boxd.it/2aCs
2022-07-20,Close-Up,1990,https://boxd.it/1m9q
2022-07-20,A Brighter Summer Day,1991,https://boxd.it/1Luy
2022-07-20,Schindler's List,1993,https://boxd.it/2aq2
2022-07-20,Happy Together,1997,https://boxd.it/1Ha0
2022-07-20,The Piano Teacher,2001,https://boxd.it/2886
2022-07-20,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ
2022-07-20,Black Swan,2010,https://boxd.it/Sw0
2022-07-20,The Artist,2011,https://boxd.it/2AwK
2022-07-20,Under the Skin,2013,https://boxd.it/3mDa
2022-07-20,The Little Gang,2022,https://boxd.it/xHoA
2022-07-20,"The Black Pharaoh, the Savage and the Princess",2022,https://boxd.it/zKVG
2022-07-20,Death on the Nile,2022,https://boxd.it/ifpg
2022-07-20,Licorice Pizza,2021,https://boxd.it/qTKY
2022-07-20,Waiting for Bojangles,2021,https://boxd.it/w7Ra
2022-07-20,Summer of 85,2020,https://boxd.it/oxQ2
2022-07-20,Yi Yi,2000,https://boxd.it/1vCw
2022-07-20,La Haine,1995,https://boxd.it/2as8
2022-07-20,Apocalypse Now,1979,https://boxd.it/6ZS
2022-07-20,Wings of Desire,1987,https://boxd.it/2b26
2022-07-22,Source Code,2011,https://boxd.it/fdo
2022-07-22,Persepolis,2007,https://boxd.it/27DC
2022-07-22,Leila's Brothers,2022,https://boxd.it/Aly0
2022-07-24,Nope,2022,https://boxd.it/sDCe
2022-07-24,Waves,2019,https://boxd.it/jpmy
2022-07-24,The Tree of Life,2011,https://boxd.it/1Zu8
2022-07-25,"Mektoub, My Love: Canto Uno",2017,https://boxd.it/bdhK
2022-07-26,Man on Fire,2004,https://boxd.it/1Yvk
2022-07-26,The Beasts,2022,https://boxd.it/w1L6
2022-07-28,Plan 75,2022,https://boxd.it/Ac0I
2022-07-30,Polytechnique,2009,https://boxd.it/1AMG
2022-08-13,Do the Right Thing,1989,https://boxd.it/29gA
2022-08-13,The Hunt,2012,https://boxd.it/3wEC
2022-08-13,Je ne sais pas si c'est tout le monde,2019,https://boxd.it/nqr8
2022-08-19,Million Dollar Baby,2004,https://boxd.it/2bdI
2022-08-19,The Fallout,2021,https://boxd.it/tViI
2022-08-31,Cléo from 5 to 7,1962,https://boxd.it/2agm
2022-09-13,Come and See,1985,https://boxd.it/1w9q
2022-09-13,Through the Fire,2018,https://boxd.it/hrdE
2022-09-13,Sweet Bean,2015,https://boxd.it/alaK
2022-09-14,The Hitchhiker's Guide to the Galaxy,2005,https://boxd.it/20VE
2022-09-15,Lost Highway,1997,https://boxd.it/29Wc
2022-09-15,"Paris, Texas",1984,https://boxd.it/29Ts
2022-09-15,God's Own Country,2017,https://boxd.it/faZM
2022-09-15,Beau Travail,1999,https://boxd.it/1NI8
2022-09-15,Blue Velvet,1986,https://boxd.it/29BI
2022-09-16,Three Colours: Red,1994,https://boxd.it/2b7q
2022-09-16,Blind,2014,https://boxd.it/7dB8
2022-09-17,Vanilla Sky,2001,https://boxd.it/27TK
2022-09-17,A Serious Man,2009,https://boxd.it/1RFW
2022-09-22,Serpico,1973,https://boxd.it/1ZjE
2022-09-29,The Woman Who Ran,2020,https://boxd.it/oEEi
2022-10-03,The Very Private Life of Mister Sim,2015,https://boxd.it/cVQG
2022-10-08,Undine,2020,https://boxd.it/mM3K
2022-10-26,Bros,2022,https://boxd.it/mJZw
2022-10-26,The Terminal,2004,https://boxd.it/2a2O
